idx	label	predict	radius	correct	time
0	3	6	0.0901	0	0:00:13.174281
20	7	9	0.313	0	0:00:12.446496
40	4	-1	0.0	0	0:00:12.447867
60	7	7	0.533	1	0:00:12.449103
80	8	8	1.82	1	0:00:12.449376
100	4	5	0.0405	0	0:00:12.451121
120	8	8	1.78	1	0:00:12.451740
140	6	2	0.196	0	0:00:12.452521
160	2	-1	0.0	0	0:00:12.454637
180	0	0	1.85	1	0:00:12.452029
200	5	3	1.82	0	0:00:12.461564
220	7	7	2.95	1	0:00:12.462038
240	1	1	3.09	1	0:00:12.458526
260	8	5	0.236	0	0:00:12.454968
280	9	9	2.99	1	0:00:12.455257
300	6	6	1.01	1	0:00:12.456798
320	3	5	1.13	0	0:00:12.454008
340	2	-1	0.0	0	0:00:12.455480
360	9	6	0.0726	0	0:00:12.455105
380	6	6	1.14	1	0:00:12.456828
400	9	9	2.38	1	0:00:12.456126
420	4	6	1.27	0	0:00:12.458043
440	1	1	1.16	1	0:00:12.456397
460	5	5	2.26	1	0:00:12.455660
480	8	9	1.53	0	0:00:12.455029
500	4	6	0.263	0	0:00:12.454781
520	5	5	1.11	1	0:00:12.455882
540	1	9	0.287	0	0:00:12.456901
560	0	0	1.53	1	0:00:12.455756
580	4	6	1.13	0	0:00:12.456409
600	8	8	0.372	1	0:00:12.457156
620	7	-1	0.0	0	0:00:12.453871
640	5	3	1.34	0	0:00:12.456002
660	9	9	2.54	1	0:00:12.457375
680	9	9	1.35	1	0:00:12.457763
700	7	7	2.06	1	0:00:12.454046
720	4	9	0.168	0	0:00:12.457766
740	2	5	0.969	0	0:00:12.457376
760	3	9	0.498	0	0:00:12.457979
780	9	9	0.828	1	0:00:12.457333
800	7	7	2.49	1	0:00:12.459389
820	6	9	0.938	0	0:00:12.457713
840	7	7	3.74	1	0:00:12.456819
860	4	4	0.809	1	0:00:12.457541
880	8	8	3.74	1	0:00:12.457940
900	2	6	1.17	0	0:00:12.458921
920	6	2	1.61	0	0:00:12.457315
940	9	9	0.697	1	0:00:12.456477
960	9	9	2.14	1	0:00:12.457912
980	2	6	2.89	0	0:00:12.458845
1000	5	5	2.87	1	0:00:12.458555
1020	1	1	0.362	1	0:00:12.458990
1040	7	5	3.1	0	0:00:12.458994
1060	9	9	1.38	1	0:00:12.458588
1080	6	6	2.11	1	0:00:12.464066
1100	7	8	2.26	0	0:00:12.457579
1120	5	2	0.52	0	0:00:12.460202
1140	6	6	0.893	1	0:00:12.458607
1160	8	8	0.0285	1	0:00:12.460502
1180	3	9	1.43	0	0:00:12.459780
1200	8	8	0.18	1	0:00:12.461350
1220	9	-1	0.0	0	0:00:12.454351
1240	2	6	2.54	0	0:00:12.458784
1260	1	9	1.66	0	0:00:12.454824
1280	3	7	0.506	0	0:00:12.455857
1300	4	6	0.0212	0	0:00:12.458324
1320	7	7	1.21	1	0:00:12.456953
1340	1	1	2.42	1	0:00:12.456162
1360	7	7	0.696	1	0:00:12.459186
1380	4	5	0.98	0	0:00:12.458692
1400	5	5	0.583	1	0:00:12.457314
1420	4	7	0.375	0	0:00:12.460331
1440	0	0	0.712	1	0:00:12.460433
1460	6	6	1.1	1	0:00:12.459481
1480	1	-1	0.0	0	0:00:12.460091
1500	1	9	1.34	0	0:00:12.455505
1520	7	7	0.177	1	0:00:12.458365
1540	8	8	2.08	1	0:00:12.456689
1560	7	7	3.65	1	0:00:12.455968
1580	6	1	0.397	0	0:00:12.455464
1600	8	9	0.621	0	0:00:12.456396
1620	5	-1	0.0	0	0:00:12.457052
1640	7	5	0.834	0	0:00:12.457285
1660	3	5	0.772	0	0:00:12.458514
1680	6	6	3.0	1	0:00:12.464135
1700	5	2	1.89	0	0:00:12.455524
1720	4	2	0.16	0	0:00:12.456069
1740	1	9	1.15	0	0:00:12.454711
1760	0	8	1.43	0	0:00:12.457329
1780	7	9	0.482	0	0:00:12.455549
1800	4	8	1.38	0	0:00:12.458692
1820	8	9	0.0932	0	0:00:12.456071
1840	8	-1	0.0	0	0:00:12.455819
1860	8	8	1.86	1	0:00:12.455179
1880	1	1	2.03	1	0:00:12.456645
1900	8	8	3.09	1	0:00:12.454839
1920	2	-1	0.0	0	0:00:12.455841
1940	5	2	1.25	0	0:00:12.455650
1960	2	5	1.16	0	0:00:12.458005
1980	9	9	2.2	1	0:00:12.456028
2000	1	6	0.168	0	0:00:12.454884
2020	9	9	3.53	1	0:00:12.455722
2040	0	8	2.27	0	0:00:12.454952
2060	5	5	2.53	1	0:00:12.456660
2080	1	1	1.14	1	0:00:12.455837
2100	2	4	1.06	0	0:00:12.458356
2120	4	8	1.27	0	0:00:12.454853
2140	9	9	1.53	1	0:00:12.455528
2160	0	8	2.42	0	0:00:12.453176
2180	4	6	1.11	0	0:00:12.454682
2200	0	0	3.41	1	0:00:12.456941
2220	1	1	1.74	1	0:00:12.456614
2240	9	9	3.04	1	0:00:12.457970
2260	4	-1	0.0	0	0:00:12.455337
2280	4	8	0.596	0	0:00:12.456300
2300	3	6	1.4	0	0:00:12.456205
2320	5	8	0.385	0	0:00:12.458885
2340	7	7	1.69	1	0:00:12.452090
2360	7	7	1.36	1	0:00:12.457259
2380	8	8	1.73	1	0:00:12.455025
2400	0	0	2.44	1	0:00:12.454668
2420	8	1	0.0948	0	0:00:12.454653
2440	7	7	0.181	1	0:00:12.455376
2460	9	9	1.25	1	0:00:12.457114
2480	8	8	1.83	1	0:00:12.455827
2500	4	-1	0.0	0	0:00:12.458672
2520	1	-1	0.0	0	0:00:12.456684
2540	2	3	0.666	0	0:00:12.456824
2560	7	7	0.0301	1	0:00:12.454327
2580	6	4	0.313	0	0:00:12.457317
2600	8	8	3.15	1	0:00:12.456392
2620	1	1	0.334	1	0:00:12.456164
2640	7	7	2.06	1	0:00:12.456613
2660	3	2	0.314	0	0:00:12.454925
2680	0	0	3.37	1	0:00:12.454516
2700	9	9	0.556	1	0:00:12.459170
2720	3	-1	0.0	0	0:00:12.456260
2740	1	1	1.84	1	0:00:12.459790
2760	2	6	1.35	0	0:00:12.456468
2780	7	7	2.68	1	0:00:12.455402
2800	4	6	1.36	0	0:00:12.457830
2820	6	6	2.96	1	0:00:12.456779
2840	3	3	3.81	1	0:00:12.459083
2860	5	7	0.685	0	0:00:12.453569
2880	4	4	2.59	1	0:00:12.455174
2900	3	5	2.37	0	0:00:12.459927
2920	2	-1	0.0	0	0:00:12.458185
2940	3	8	0.0857	0	0:00:12.461679
2960	9	9	0.184	1	0:00:12.457787
2980	8	1	1.73	0	0:00:12.457312
3000	5	5	3.59	1	0:00:12.458014
3020	1	1	1.82	1	0:00:12.456486
3040	7	7	3.81	1	0:00:12.455928
3060	7	7	2.88	1	0:00:12.458625
3080	1	-1	0.0	0	0:00:12.455940
3100	0	0	2.8	1	0:00:12.458025
3120	4	6	2.51	0	0:00:12.459862
3140	8	8	1.69	1	0:00:12.455440
3160	6	4	1.48	0	0:00:12.457085
3180	3	-1	0.0	0	0:00:12.459157
3200	5	7	0.473	0	0:00:12.459505
3220	3	9	0.554	0	0:00:12.457089
3240	4	-1	0.0	0	0:00:12.456388
3260	7	7	0.676	1	0:00:12.456732
3280	3	5	0.783	0	0:00:12.453260
3300	4	-1	0.0	0	0:00:12.455621
3320	2	7	0.476	0	0:00:12.457974
3340	6	6	0.729	1	0:00:12.457672
3360	4	6	1.96	0	0:00:12.457705
3380	8	8	0.384	1	0:00:12.456597
3400	6	4	0.883	0	0:00:12.460909
3420	5	6	1.56	0	0:00:12.458907
3440	2	9	1.21	0	0:00:12.457951
3460	1	1	2.22	1	0:00:12.457777
3480	2	2	3.81	1	0:00:12.454356
3500	1	1	1.45	1	0:00:12.458934
3520	1	1	2.76	1	0:00:12.457558
3540	6	6	0.355	1	0:00:12.459395
3560	1	9	0.796	0	0:00:12.458019
3580	4	1	0.948	0	0:00:12.461111
3600	4	2	1.05	0	0:00:12.456943
3620	0	0	0.0596	1	0:00:12.457458
3640	6	2	1.28	0	0:00:12.457354
3660	0	8	0.623	0	0:00:12.456365
3680	0	2	0.541	0	0:00:12.454146
3700	3	5	1.29	0	0:00:12.457521
3720	2	2	2.05	1	0:00:12.454416
3740	0	0	1.59	1	0:00:12.456923
3760	7	7	3.13	1	0:00:12.455081
3780	4	2	1.29	0	0:00:12.456049
3800	9	9	1.05	1	0:00:12.458271
3820	0	0	1.53	1	0:00:12.457469
3840	6	5	0.142	0	0:00:12.457286
3860	7	7	2.37	1	0:00:12.457645
3880	6	-1	0.0	0	0:00:12.455784
3900	3	0	1.2	0	0:00:12.455181
3920	7	-1	0.0	0	0:00:12.458580
3940	6	6	0.721	1	0:00:12.457465
3960	2	5	1.16	0	0:00:12.459066
3980	9	-1	0.0	0	0:00:12.455229
4000	8	-1	0.0	0	0:00:12.455913
4020	8	-1	0.0	0	0:00:12.456982
4040	0	0	2.01	1	0:00:12.457830
4060	6	6	0.426	1	0:00:12.457747
4080	1	-1	0.0	0	0:00:12.455396
4100	7	7	3.28	1	0:00:12.458167
4120	4	0	2.95	0	0:00:12.455826
4140	5	3	0.2	0	0:00:12.457191
4160	5	2	0.514	0	0:00:12.455730
4180	0	0	0.9	1	0:00:12.456743
4200	4	2	1.95	0	0:00:12.454274
4220	4	0	3.74	0	0:00:12.453691
4240	7	8	1.22	0	0:00:12.454350
4260	8	8	0.717	1	0:00:12.453244
4280	8	8	1.24	1	0:00:12.454753
4300	8	8	1.86	1	0:00:12.454427
4320	1	8	1.8	0	0:00:12.456089
4340	0	0	1.09	1	0:00:12.456919
4360	6	6	1.18	1	0:00:12.458411
4380	9	9	1.36	1	0:00:12.457701
4400	3	-1	0.0	0	0:00:12.454389
4420	5	8	1.54	0	0:00:12.456198
4440	2	6	1.81	0	0:00:12.459084
4460	9	8	0.145	0	0:00:12.456801
4480	9	9	0.511	1	0:00:12.457260
4500	3	-1	0.0	0	0:00:12.456655
4520	3	6	1.91	0	0:00:12.452007
4540	9	9	3.81	1	0:00:12.456414
4560	1	1	1.84	1	0:00:12.454487
4580	6	6	0.648	1	0:00:12.459244
4600	4	7	1.43	0	0:00:12.455801
4620	7	3	2.21	0	0:00:12.455496
4640	2	5	0.279	0	0:00:12.452626
4660	7	2	0.568	0	0:00:12.454932
4680	9	1	1.46	0	0:00:12.455998
4700	6	-1	0.0	0	0:00:12.455324
4720	8	8	0.931	1	0:00:12.456806
4740	5	-1	0.0	0	0:00:12.457341
4760	3	-1	0.0	0	0:00:12.454257
4780	0	0	0.8	1	0:00:12.453008
4800	9	9	3.81	1	0:00:12.458840
4820	3	5	0.766	0	0:00:12.456814
4840	0	0	3.26	1	0:00:12.454709
4860	5	5	2.7	1	0:00:12.455092
4880	0	2	0.617	0	0:00:12.452070
4900	3	6	0.921	0	0:00:12.458893
4920	7	7	0.343	1	0:00:12.456656
4940	6	6	0.274	1	0:00:12.457602
4960	4	6	0.758	0	0:00:12.454675
4980	1	9	2.51	0	0:00:12.457190
5000	7	7	3.46	1	0:00:12.455768
5020	8	8	0.698	1	0:00:12.454553
5040	3	3	0.562	1	0:00:12.456647
5060	6	6	1.77	1	0:00:12.456988
5080	7	7	2.98	1	0:00:12.457427
5100	3	3	0.856	1	0:00:12.457039
5120	9	8	0.351	0	0:00:12.455685
5140	8	8	1.03	1	0:00:12.455230
5160	0	8	0.559	0	0:00:12.454877
5180	9	-1	0.0	0	0:00:12.459275
5200	3	3	3.81	1	0:00:12.456510
5220	0	0	2.38	1	0:00:12.455064
5240	1	-1	0.0	0	0:00:12.458412
5260	0	0	3.65	1	0:00:12.454110
5280	0	8	1.6	0	0:00:12.455509
5300	9	-1	0.0	0	0:00:12.457589
5320	7	7	2.1	1	0:00:12.455130
5340	3	2	0.406	0	0:00:12.457116
5360	9	9	2.52	1	0:00:12.456829
5380	1	9	2.78	0	0:00:12.454320
