idx	label	predict	radius	correct	time
0	3	-1	0.0	0	0:00:13.212643
20	7	-1	0.0	0	0:00:12.720173
40	4	-1	0.0	0	0:00:12.763777
60	7	7	0.598	1	0:00:12.794740
80	8	8	0.944	1	0:00:12.816203
100	4	-1	0.0	0	0:00:12.815324
120	8	8	0.894	1	0:00:12.820132
140	6	-1	0.0	0	0:00:12.841893
160	2	2	0.57	1	0:00:12.839918
180	0	0	1.82	1	0:00:12.847713
200	5	5	0.00699	1	0:00:12.850178
220	7	7	2.26	1	0:00:12.847445
240	1	1	2.53	1	0:00:12.860417
260	8	-1	0.0	0	0:00:12.859883
280	9	9	2.77	1	0:00:12.856055
300	6	6	0.619	1	0:00:12.859253
320	3	-1	0.0	0	0:00:12.853822
340	2	4	0.067	0	0:00:12.862533
360	9	-1	0.0	0	0:00:12.864505
380	6	6	0.211	1	0:00:12.860008
400	9	9	1.76	1	0:00:12.863112
420	4	4	0.513	1	0:00:12.856158
440	1	1	1.06	1	0:00:12.866380
460	5	5	1.31	1	0:00:12.858436
480	8	9	0.937	0	0:00:12.861439
500	4	6	0.645	0	0:00:12.860529
520	5	5	0.445	1	0:00:12.857525
540	1	-1	0.0	0	0:00:12.852918
560	0	0	1.6	1	0:00:12.863281
580	4	4	0.62	1	0:00:12.860843
600	8	8	0.437	1	0:00:12.863908
620	7	-1	0.0	0	0:00:12.864934
640	5	3	1.58	0	0:00:12.862158
660	9	9	2.15	1	0:00:12.865501
680	9	-1	0.0	0	0:00:12.872401
700	7	7	1.4	1	0:00:12.858748
720	4	-1	0.0	0	0:00:12.864887
740	2	-1	0.0	0	0:00:12.874740
760	3	-1	0.0	0	0:00:12.868276
780	9	9	0.382	1	0:00:12.867357
800	7	7	2.47	1	0:00:12.871357
820	6	-1	0.0	0	0:00:12.866848
840	7	7	3.49	1	0:00:12.874519
860	4	4	1.39	1	0:00:12.866441
880	8	8	2.54	1	0:00:12.863598
900	2	-1	0.0	0	0:00:12.863730
920	6	-1	0.0	0	0:00:12.858894
940	9	9	1.57	1	0:00:12.865406
960	9	9	1.01	1	0:00:12.851897
980	2	6	1.32	0	0:00:12.855948
1000	5	5	2.81	1	0:00:12.867872
1020	1	1	1.25	1	0:00:12.853433
1040	7	5	1.23	0	0:00:12.858248
1060	9	9	1.54	1	0:00:12.852295
1080	6	6	1.11	1	0:00:12.851447
1100	7	8	0.781	0	0:00:12.850009
1120	5	2	0.253	0	0:00:12.857045
1140	6	6	0.372	1	0:00:12.860397
1160	8	0	0.154	0	0:00:12.851553
1180	3	3	1.2	1	0:00:12.854819
1200	8	8	0.572	1	0:00:12.847018
1220	9	-1	0.0	0	0:00:12.851788
1240	2	6	1.1	0	0:00:12.843679
1260	1	9	0.755	0	0:00:12.858985
