idx	label	predict	radius	correct	time
0	3	3	0.802	1	0:00:13.208409
20	7	7	0.215	1	0:00:12.687847
40	4	4	0.948	1	0:00:12.737461
60	7	7	1.21	1	0:00:12.764425
80	8	8	0.899	1	0:00:12.779606
100	4	-1	0.0	0	0:00:12.802662
120	8	8	0.293	1	0:00:12.804583
140	6	6	0.325	1	0:00:12.812941
160	2	2	0.789	1	0:00:12.825639
180	0	0	1.18	1	0:00:12.827647
200	5	5	0.809	1	0:00:12.832402
220	7	7	1.24	1	0:00:12.825166
240	1	1	1.87	1	0:00:12.833397
260	8	8	0.0372	1	0:00:12.842535
280	9	9	1.51	1	0:00:12.837749
300	6	6	1.04	1	0:00:12.844422
320	3	3	0.496	1	0:00:12.843716
340	2	4	0.0995	0	0:00:12.843923
360	9	9	0.657	1	0:00:12.834726
380	6	6	0.488	1	0:00:12.842232
400	9	9	1.25	1	0:00:12.834169
420	4	4	0.98	1	0:00:12.851398
440	1	1	0.879	1	0:00:12.832212
460	5	5	1.21	1	0:00:12.846241
480	8	9	0.456	0	0:00:12.848595
500	4	6	0.259	0	0:00:12.842991
520	5	5	0.381	1	0:00:12.845928
540	1	1	1.13	1	0:00:12.833177
560	0	0	1.71	1	0:00:12.839277
580	4	4	0.78	1	0:00:12.840207
600	8	8	0.897	1	0:00:12.851027
620	7	7	0.479	1	0:00:12.852081
640	5	3	0.645	0	0:00:12.848015
660	9	9	1.34	1	0:00:12.852964
680	9	-1	0.0	0	0:00:12.844019
700	7	7	1.28	1	0:00:12.836349
720	4	4	0.0333	1	0:00:12.842391
740	2	5	0.12	0	0:00:12.832119
760	3	3	0.452	1	0:00:12.847880
780	9	9	0.93	1	0:00:12.839280
800	7	7	1.91	1	0:00:12.841401
820	6	6	0.267	1	0:00:12.847354
840	7	7	1.91	1	0:00:12.845392
860	4	4	0.531	1	0:00:12.845062
880	8	8	1.25	1	0:00:12.858438
900	2	6	0.0897	0	0:00:12.852784
920	6	6	0.366	1	0:00:12.847998
940	9	9	1.39	1	0:00:12.853294
960	9	9	0.501	1	0:00:12.861693
980	2	6	0.235	0	0:00:12.854117
1000	5	5	1.73	1	0:00:12.849310
1020	1	1	1.74	1	0:00:12.852077
1040	7	5	0.931	0	0:00:12.854589
1060	9	9	1.8	1	0:00:12.850080
1080	6	6	0.356	1	0:00:12.850327
1100	7	-1	0.0	0	0:00:12.851684
1120	5	2	0.0917	0	0:00:12.857489
1140	6	6	0.68	1	0:00:12.856560
