idx	label	predict	radius	correct	time
0	3	3	0.935	1	0:00:24.343761
20	7	7	0.266	1	0:00:12.205578
40	4	4	0.953	1	0:00:12.235483
60	7	7	0.953	1	0:00:12.276167
80	8	8	0.953	1	0:00:12.295521
100	4	5	0.0505	0	0:00:12.313589
120	8	8	0.444	1	0:00:12.338034
140	6	6	0.685	1	0:00:12.362935
160	2	2	0.808	1	0:00:12.371351
180	0	0	0.953	1	0:00:12.379812
200	5	5	0.913	1	0:00:12.382035
220	7	7	0.953	1	0:00:12.386997
240	1	1	0.953	1	0:00:12.390840
260	8	8	0.49	1	0:00:12.390871
280	9	9	0.953	1	0:00:12.394650
300	6	6	0.953	1	0:00:12.398199
320	3	3	0.47	1	0:00:12.397048
340	2	4	0.144	0	0:00:12.400050
360	9	9	0.755	1	0:00:12.400173
380	6	6	0.793	1	0:00:12.399767
400	9	9	0.953	1	0:00:12.404989
420	4	4	0.953	1	0:00:12.404233
440	1	1	0.953	1	0:00:12.404980
460	5	5	0.953	1	0:00:12.407172
480	8	9	0.0857	0	0:00:12.408338
500	4	6	0.291	0	0:00:12.410799
520	5	5	0.604	1	0:00:12.415164
540	1	1	0.953	1	0:00:12.414257
560	0	0	0.953	1	0:00:12.411494
580	4	4	0.877	1	0:00:12.426268
600	8	8	0.953	1	0:00:12.453323
620	7	7	0.953	1	0:00:12.450844
640	5	3	0.953	0	0:00:12.451664
660	9	9	0.953	1	0:00:12.454126
680	9	9	0.115	1	0:00:12.456636
700	7	7	0.953	1	0:00:12.452839
720	4	4	0.788	1	0:00:12.454411
740	2	5	0.274	0	0:00:12.458447
760	3	3	0.705	1	0:00:12.456716
780	9	9	0.953	1	0:00:12.457388
800	7	7	0.953	1	0:00:12.460697
820	6	6	0.238	1	0:00:12.458945
840	7	7	0.953	1	0:00:12.462631
860	4	4	0.688	1	0:00:12.459841
880	8	8	0.953	1	0:00:12.458143
900	2	6	0.413	0	0:00:12.460275
920	6	6	0.446	1	0:00:12.461124
940	9	9	0.953	1	0:00:12.465303
960	9	9	0.552	1	0:00:12.463591
980	2	6	0.088	0	0:00:12.463943
1000	5	5	0.953	1	0:00:12.463937
1020	1	1	0.953	1	0:00:12.466347
1040	7	5	0.953	0	0:00:12.470288
1060	9	9	0.953	1	0:00:12.466028
1080	6	6	0.76	1	0:00:12.469100
1100	7	7	0.0655	1	0:00:12.463985
1120	5	2	0.143	0	0:00:12.467634
1140	6	6	0.699	1	0:00:12.463484
1160	8	8	0.898	1	0:00:12.469032
1180	3	3	0.953	1	0:00:12.468043
1200	8	8	0.835	1	0:00:12.468490
1220	9	3	0.14	0	0:00:12.464129
1240	2	6	0.252	0	0:00:12.469747
1260	1	9	0.15	0	0:00:12.469832
1280	3	5	0.285	0	0:00:12.472007
1300	4	3	0.953	0	0:00:12.466308
1320	7	7	0.527	1	0:00:12.468863
1340	1	1	0.953	1	0:00:12.472221
1360	7	7	0.953	1	0:00:12.473495
1380	4	5	0.676	0	0:00:12.468765
1400	5	3	0.0294	0	0:00:12.467584
1420	4	4	0.17	1	0:00:12.469167
1440	0	0	0.433	1	0:00:12.472259
1460	6	6	0.953	1	0:00:12.472335
1480	1	1	0.678	1	0:00:12.473361
1500	1	1	0.953	1	0:00:12.474361
1520	7	7	0.953	1	0:00:12.471314
1540	8	8	0.953	1	0:00:12.475234
1560	7	7	0.953	1	0:00:12.479356
1580	6	1	0.14	0	0:00:12.477997
1600	8	9	0.319	0	0:00:12.472901
1620	5	-1	0.0	0	0:00:12.472904
1640	7	3	0.724	0	0:00:12.479205
1660	3	3	0.953	1	0:00:12.476296
1680	6	6	0.953	1	0:00:12.475420
1700	5	5	0.686	1	0:00:12.475895
1720	4	4	0.886	1	0:00:12.477500
1740	1	1	0.477	1	0:00:12.475509
1760	0	0	0.663	1	0:00:12.473102
1780	7	7	0.953	1	0:00:12.478016
1800	4	4	0.42	1	0:00:12.475295
1820	8	8	0.514	1	0:00:12.479185
1840	8	4	0.02	0	0:00:12.477428
1860	8	8	0.953	1	0:00:12.478981
1880	1	1	0.953	1	0:00:12.477509
1900	8	8	0.953	1	0:00:12.474634
1920	2	2	0.953	1	0:00:12.478313
1940	5	5	0.953	1	0:00:12.481663
1960	2	5	0.494	0	0:00:12.479282
1980	9	9	0.953	1	0:00:12.479967
2000	1	1	0.669	1	0:00:12.478918
2020	9	9	0.953	1	0:00:12.478016
2040	0	0	0.953	1	0:00:12.478882
2060	5	3	0.525	0	0:00:12.477500
2080	1	1	0.298	1	0:00:12.479678
2100	2	2	0.77	1	0:00:12.477203
2120	4	8	0.537	0	0:00:12.478997
2140	9	9	0.953	1	0:00:12.482786
2160	0	0	0.349	1	0:00:12.477082
2180	4	4	0.953	1	0:00:12.475914
2200	0	0	0.288	1	0:00:12.480516
2220	1	1	0.953	1	0:00:12.478264
2240	9	9	0.852	1	0:00:12.478630
2260	4	4	0.913	1	0:00:12.476492
2280	4	8	0.259	0	0:00:12.478305
2300	3	3	0.0999	1	0:00:12.475877
2320	5	2	0.369	0	0:00:12.484836
2340	7	7	0.953	1	0:00:12.477398
2360	7	7	0.546	1	0:00:12.484712
2380	8	8	0.953	1	0:00:12.477445
2400	0	0	0.953	1	0:00:12.481901
2420	8	8	0.327	1	0:00:12.482855
2440	7	7	0.953	1	0:00:12.484255
2460	9	9	0.261	1	0:00:12.480144
2480	8	8	0.953	1	0:00:12.481208
2500	4	4	0.1	1	0:00:12.477026
2520	1	1	0.471	1	0:00:12.482297
2540	2	3	0.158	0	0:00:12.480086
2560	7	7	0.551	1	0:00:12.477337
2580	6	6	0.858	1	0:00:12.478887
2600	8	8	0.953	1	0:00:12.476833
2620	1	1	0.801	1	0:00:12.473108
2640	7	7	0.953	1	0:00:12.480331
2660	3	2	0.427	0	0:00:12.475104
2680	0	0	0.953	1	0:00:12.479337
2700	9	9	0.193	1	0:00:12.480119
2720	3	3	0.68	1	0:00:12.479294
2740	1	1	0.953	1	0:00:12.479162
2760	2	2	0.922	1	0:00:12.480394
2780	7	7	0.953	1	0:00:12.480980
2800	4	4	0.547	1	0:00:12.479634
