idx	label	predict	radius	correct	time
0	3	3	0.776	1	0:00:12.960546
20	7	7	0.606	1	0:00:12.207750
40	4	4	0.953	1	0:00:12.257180
60	7	7	0.953	1	0:00:12.281696
80	8	8	0.953	1	0:00:12.313714
100	4	4	0.102	1	0:00:12.347403
120	8	8	0.707	1	0:00:12.365044
140	6	6	0.695	1	0:00:12.377530
160	2	2	0.953	1	0:00:12.380973
180	0	0	0.953	1	0:00:12.392398
200	5	5	0.855	1	0:00:12.397667
220	7	7	0.953	1	0:00:12.407600
240	1	1	0.953	1	0:00:12.410980
260	8	8	0.495	1	0:00:12.417954
280	9	9	0.953	1	0:00:12.442576
300	6	6	0.953	1	0:00:12.451133
320	3	3	0.34	1	0:00:12.452650
340	2	4	0.069	0	0:00:12.460060
360	9	9	0.935	1	0:00:12.463944
380	6	6	0.862	1	0:00:12.470659
400	9	9	0.953	1	0:00:12.479340
420	4	4	0.935	1	0:00:12.474558
440	1	1	0.779	1	0:00:12.486707
460	5	5	0.953	1	0:00:12.490357
480	8	9	0.41	0	0:00:12.489992
500	4	6	0.202	0	0:00:12.494059
520	5	5	0.703	1	0:00:12.496586
540	1	1	0.953	1	0:00:12.496106
560	0	0	0.953	1	0:00:12.498762
580	4	4	0.913	1	0:00:12.497578
600	8	8	0.953	1	0:00:12.503306
620	7	7	0.953	1	0:00:12.499062
640	5	3	0.886	0	0:00:12.501589
660	9	9	0.953	1	0:00:12.507530
680	9	9	0.113	1	0:00:12.510333
700	7	7	0.953	1	0:00:12.508576
720	4	4	0.441	1	0:00:12.506530
740	2	5	0.571	0	0:00:12.511959
760	3	3	0.813	1	0:00:12.512679
780	9	9	0.953	1	0:00:12.515941
800	7	7	0.953	1	0:00:12.516742
820	6	6	0.0886	1	0:00:12.520822
840	7	7	0.953	1	0:00:12.524532
860	4	4	0.953	1	0:00:12.520883
880	8	8	0.953	1	0:00:12.526902
900	2	6	0.536	0	0:00:12.524198
920	6	6	0.722	1	0:00:12.532657
940	9	9	0.953	1	0:00:12.534894
960	9	9	0.935	1	0:00:12.536772
980	2	6	0.363	0	0:00:12.537620
1000	5	5	0.953	1	0:00:12.541113
1020	1	1	0.953	1	0:00:12.539966
1040	7	5	0.922	0	0:00:12.548271
1060	9	9	0.953	1	0:00:12.543717
1080	6	6	0.679	1	0:00:12.545362
1100	7	8	0.238	0	0:00:12.550199
1120	5	2	0.272	0	0:00:12.547847
1140	6	6	0.579	1	0:00:12.547748
1160	8	8	0.633	1	0:00:12.551480
1180	3	3	0.953	1	0:00:12.551435
1200	8	8	0.775	1	0:00:12.557386
1220	9	3	0.0131	0	0:00:12.554199
1240	2	6	0.383	0	0:00:12.552740
1260	1	9	0.201	0	0:00:12.554865
1280	3	5	0.195	0	0:00:12.556061
1300	4	3	0.774	0	0:00:12.553097
1320	7	7	0.626	1	0:00:12.557678
1340	1	1	0.953	1	0:00:12.561076
1360	7	7	0.953	1	0:00:12.558634
1380	4	5	0.264	0	0:00:12.562165
1400	5	3	0.185	0	0:00:12.560126
1420	4	4	0.191	1	0:00:12.558849
1440	0	0	0.381	1	0:00:12.561117
1460	6	6	0.953	1	0:00:12.564465
1480	1	1	0.898	1	0:00:12.564256
1500	1	1	0.953	1	0:00:12.564874
1520	7	7	0.953	1	0:00:12.561513
1540	8	8	0.953	1	0:00:12.572899
1560	7	7	0.953	1	0:00:12.596373
1580	6	1	0.101	0	0:00:12.592911
1600	8	9	0.355	0	0:00:12.594187
1620	5	3	0.0441	0	0:00:12.592283
1640	7	3	0.281	0	0:00:12.595881
1660	3	3	0.953	1	0:00:12.593580
1680	6	6	0.953	1	0:00:12.594263
1700	5	5	0.65	1	0:00:12.594576
1720	4	4	0.48	1	0:00:12.598226
1740	1	1	0.627	1	0:00:12.602491
1760	0	0	0.36	1	0:00:12.593471
1780	7	7	0.922	1	0:00:12.600321
1800	4	4	0.17	1	0:00:12.601086
1820	8	8	0.699	1	0:00:12.604932
1840	8	4	0.0716	0	0:00:12.600211
1860	8	8	0.953	1	0:00:12.604259
1880	1	1	0.953	1	0:00:12.606231
1900	8	8	0.953	1	0:00:12.601875
1920	2	2	0.953	1	0:00:12.601224
1940	5	5	0.953	1	0:00:12.606683
1960	2	5	0.352	0	0:00:12.606357
1980	9	9	0.953	1	0:00:12.604065
2000	1	1	0.789	1	0:00:12.606314
2020	9	9	0.953	1	0:00:12.608153
2040	0	0	0.953	1	0:00:12.611003
2060	5	3	0.33	0	0:00:12.608310
2080	1	1	0.657	1	0:00:12.610019
2100	2	2	0.953	1	0:00:12.607784
2120	4	8	0.492	0	0:00:12.609510
2140	9	9	0.953	1	0:00:12.615415
2160	0	0	0.306	1	0:00:12.606831
2180	4	4	0.953	1	0:00:12.607624
2200	0	0	0.634	1	0:00:12.611366
2220	1	1	0.953	1	0:00:12.608154
